rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1565339800953013751,,16,,1565339800,951281070,"""base_link""",,,-0.339173614979,0.856680572033,-0.0404289960861,,0.000292509396944,0.00366403684855,0.00388209776789,0.999985709192
1565339801053237147,,17,,1565339801,50987958,"""base_link""",,,-0.338963210583,0.856644392014,-0.0404326915741,,0.000287453054068,0.00371566736463,0.00383320126215,0.999985708775
1565339801155453370,,18,,1565339801,151844978,"""base_link""",,,-0.338794648647,0.856852173805,-0.0400445461273,,0.000304247566153,0.0036423668891,0.00379410872485,0.999986122572
1565339801281290683,,19,,1565339801,265779972,"""base_link""",,,-0.338700592518,0.856958806515,-0.0400524139404,,0.00032213029533,0.00361116775494,0.00377147304981,0.999986315752
1565339801353163893,,20,,1565339801,352701902,"""base_link""",,,-0.338868200779,0.856941521168,-0.0400831699371,,0.000284922512184,0.00360504098327,0.0037064099739,0.999986592422
1565339801450552740,,21,,1565339801,449382066,"""base_link""",,,-0.338688671589,0.857010543346,-0.040097117424,,0.00030308793835,0.0036646085236,0.00368872199523,0.999986435964
1565339801553160322,,22,,1565339801,551532983,"""base_link""",,,-0.33893096447,0.856893539429,-0.0401757955551,,0.000315875752562,0.00369758116284,0.00366849968071,0.99998638502
1565339801659581230,,23,,1565339801,658514022,"""base_link""",,,-0.338907897472,0.856955230236,-0.0399210453033,,0.000320819987813,0.0036939278563,0.00367231677347,0.999986382938
1565339801750596459,,24,,1565339801,749732971,"""base_link""",,,-0.338874280453,0.856719732285,-0.0399861335754,,0.000306514426477,0.00359283478008,0.00361349176934,0.999986970047
1565339801851005772,,25,,1565339801,849695920,"""base_link""",,,-0.338833391666,0.856408417225,-0.0403659343719,,0.000302467579893,0.00367843093473,0.003577353798,0.999986790012
1565339801955124814,,26,,1565339801,953269004,"""base_link""",,,-0.338706433773,0.856894373894,-0.0400171279907,,0.000300039633942,0.00361218471824,0.00355314410635,0.999987118549
1565339802053175283,,27,,1565339802,52398920,"""base_link""",,,-0.339095950127,0.856670856476,-0.0404406785965,,0.000291815885422,0.00361828073194,0.00353850725324,0.999987150845
1565339802152120254,,28,,1565339802,150919914,"""base_link""",,,-0.338719010353,0.856946349144,-0.0400232076645,,0.000291007276345,0.0036017212527,0.00353730900975,0.9999872151
1565339802250264704,,29,,1565339802,249200105,"""base_link""",,,-0.338858783245,0.856505215168,-0.0402456521988,,0.000277366904812,0.00361866810485,0.00347127371666,0.999987389204
1565339802349499958,,30,,1565339802,348964929,"""base_link""",,,-0.339108228683,0.856643080711,-0.0404525995255,,0.000274198122561,0.00361659638774,0.00346349528951,0.999987424544
1565339802452258053,,31,,1565339802,448694944,"""base_link""",,,-0.33901143074,0.856792509556,-0.0400735139847,,0.000248504835376,0.00362070849157,0.00340744632609,0.999987608936
1565339802557644875,,32,,1565339802,556509971,"""base_link""",,,-0.339063763618,0.856953680515,-0.0402705669403,,0.000230166067962,0.00360541432339,0.00340281429357,0.999987684357
1565339802649777418,,33,,1565339802,648601055,"""base_link""",,,-0.338717103004,0.856894493103,-0.0401109457016,,0.000234454996998,0.00352010045285,0.00338993222552,0.99998803107
1565339802749375582,,34,,1565339802,748681068,"""base_link""",,,-0.338661074638,0.856726527214,-0.0401227474213,,0.000204433306558,0.00344676086453,0.00339567347637,0.999988273655
1565339802851796503,,35,,1565339802,850574970,"""base_link""",,,-0.338733613491,0.856918811798,-0.0398743152618,,0.00016866761231,0.00354809857559,0.00339008706212,0.999987944856
1565339802949421240,,36,,1565339802,948704004,"""base_link""",,,-0.338843345642,0.856956481934,-0.0402673482895,,0.000170915554492,0.00363660049264,0.00336344303682,0.999987716512
1565339803050550570,,37,,1565339803,49801111,"""base_link""",,,-0.338584065437,0.856806755066,-0.0400102138519,,0.000185751362671,0.00373630856115,0.00334752041184,0.999987399722
